signal_date,signal_type,entry_price,exit_price,profit_loss,result,hold_bars
2024-07-14 23:00:00+00:00,DC,158.0279998779297,146.72300720214844,1130.4993,WIN,349
2024-10-03 03:00:00+00:00,GC,146.72300720214844,151.49400329589844,477.0996,WIN,243
2024-11-28 16:00:00+00:00,DC,151.49400329589844,152.5709991455078,-107.6996,LOSS,57
2024-12-12 04:00:00+00:00,GC,152.5709991455078,153.96200561523438,139.1006,WIN,187
2025-01-27 08:00:00+00:00,DC,153.96200561523438,150.9669952392578,299.501,WIN,259
2025-03-27 12:00:00+00:00,GC,150.9669952392578,148.88900756835938,-207.7988,LOSS,9
2025-03-30 23:00:00+00:00,DC,148.88900756835938,148.40199279785156,48.7015,WIN,182
2025-05-12 07:00:00+00:00,GC,148.40199279785156,144.5919952392578,-380.9998,LOSS,36
2025-05-20 07:00:00+00:00,DC,144.5919952392578,144.9459991455078,-35.4004,LOSS,94
2025-06-10 23:00:00+00:00,GC,144.9459991455078,143.73399353027344,-121.2006,LOSS,7
2025-06-12 03:00:00+00:00,DC,143.73399353027344,145.18499755859375,-145.1004,LOSS,20
2025-06-17 11:00:00+00:00,GC,145.18499755859375,143.88099670410156,-130.4001,LOSS,52
2025-06-30 03:00:00+00:00,DC,143.88099670410156,145.79600524902344,-191.5009,LOSS,32
2025-07-07 11:00:00+00:00,GC,145.79600524902344,146.88800048828125,109.1995,WIN,231
2025-08-28 23:00:00+00:00,DC,146.88800048828125,148.5919952392578,-170.3995,LOSS,14
2025-09-02 07:00:00+00:00,GC,148.5919952392578,147.33700561523438,-125.499,LOSS,39
2025-09-10 19:00:00+00:00,DC,147.33700561523438,147.718994140625,-38.1989,LOSS,2
2025-09-11 03:00:00+00:00,GC,147.718994140625,147.17300415039062,-54.599,LOSS,3
2025-09-11 15:00:00+00:00,DC,147.17300415039062,147.66700744628906,-49.4003,LOSS,5
2025-09-12 11:00:00+00:00,GC,147.66700744628906,147.31900024414062,-34.8007,LOSS,7
2025-09-15 15:00:00+00:00,DC,147.31900024414062,147.8820037841797,-56.3004,LOSS,23
2025-09-19 11:00:00+00:00,GC,147.8820037841797,147.156005859375,-72.5998,LOSS,52
2025-10-02 03:00:00+00:00,DC,147.156005859375,149.87100219726562,-271.4996,LOSS,11
2025-10-05 23:00:00+00:00,GC,149.87100219726562,153.73899841308594,386.7996,WIN,477
2026-01-26 08:00:00+00:00,DC,153.73899841308594,156.80099487304688,-306.1996,LOSS,44
2026-02-05 20:00:00+00:00,GC,156.80099487304688,155.26199340820312,-153.9001,LOSS,15
2026-02-10 08:00:00+00:00,DC,155.26199340820312,155.92100524902344,-65.9012,LOSS,65
2026-02-25 04:00:00+00:00,GC,155.92100524902344,156.66200256347656,74.0997,WIN,280
2026-04-30 19:00:00+00:00,DC,156.66200256347656,158.90699768066406,-224.4995,LOSS,66
